80001  FSC Skyway
80002  Hemming Plaza Skyway
80003  Central Station Skyway
80004  Jefferson Skyway
80005  Convention Center Skyway
80006  San Macro Skyway
80007  Riverplace Skyway
80008  Kings Ave Skyway
80010  BRT N-SE Wal Mart Station
80011  BRT Kingsley Ave Station
80012  BRT Orange Park Mall Station
80013  BRT Townsend Blvd SB Station
80014  BRT 103rd Street Station
80015  BRT Wilson Blvd Station
80016  BRT San Juan Ave Station
80017  BRT Kent Campus NB Station
80018  BRT Kent Campus SB Sation
80019  BRT Townsend NB Station
80020  BRT Collins Rd SB Station
80021  BRT Jax Regional Transportation Center
80022  BRT - FSC Transit Station
80023  BRT - Hemmingway Station
80024  BRT Beach Blvd EB at Forest Station
80026  BRT University Blvd Station
80027  BRTArlington Central Station
80028  BRT Regency Square Mall Station
80029  BRT Ivey Road Station
80030  BRT Beach Blvd WB at Forest Station
80031  BRT Baymeadows Station node
80032  BRT Avenue Walk Station
80033  BRT Collins Rd NB Station
80034  BRT Beach Blvd EB and Kernan Station
80035  BRT Beach Blvd and Penman Rd Station
80036  BRT N-SE Dunn Av Station
80037  BRT Edgewood NB Station
80038  BRT Beach Blvd WB and Kernan Station
80039  BRT FSC South Campus Station
80040  BRT Beach Blvd WB and Hodges Station
80041  BRT Beach Blvd EB and Hodges Station
80042  BRT Beach Blvd WB and San Pablo Station
80043  BRT Beach Blvd and A1A Station
80051  BRT N-SE Soutel Drive Station
80052  BRT N-SE Shands Station
80053  BRT Edgewood Av SB Station
80054  BRT Jefferson Station WB
80055  BRT Beach Blvd EB and San Pablo Station
80056  BRT Gateway Mall Station
80057  BRT Lavilla SB Station
80058  BRT Lavilla NB Station
80059  BRT Court House SB Station
80060  BRT N-SE Central Station Skywa
80061  BRT Jefferson Station EB
80062  BRT Museum Circle EB
80063  BRT Kings Av Skyway Station
80064  BRT Emerson SB Station
80065  BRT University West NB Station
80069  BRT Avenues Mall Station
80070  BRT Court House NB Station
80071  BRT Acosta SB
80072  BRT Acosta NB Station
80073  BRT Museum Circle WB
80074  BRT Riverplace Blvd
80075  BRT Emerson NB Station
80076  BRT University West SB Station
80077  BRT J.T. Butler Blvd Station
90000  CR Yulee Station
90001  CR Fernandina Station
90002  CR Hedges Station
90003  CR Sanderson Station
90004  CR Pecan Park Station
90005  CR Macclenny
90006  CR Airport Center Station
90007  CR Baldwin Station
90008  CR Cole New Berlin Station
90009  CR Lane Ave
90010  CR Bush Dr Station
90011  CR Callahan Station
90012  CR Hecksher Dr Zoo Station
90013  CR Old Kings Rd Station
90014  CR East 64th St. Station
90015  CR Edgewood Station (amtrak)
90016  CR East 44th St Station
90018  CR East 21st St Station
90019  CR US1 at SR 206 Station
90020  CR Warehouse District Station
90021  CR Palatka Station (amtrak)
90022  CR Shands Hospital Station
90024  CR West 8th St Station
90026  CR Kings Road Station
90028  CR Regional Transportation Center Station
90030  CR Prudential Drive San Marco Station
90032  CR Emerson Station
90034  CR J.T. Butler Blvd Station
90036  CR Baymeadows Station
90038  CR Avenues Walk Station
90040  CR Old St. Augustine Rd Station
90042  CR Race Track Rd Station
90044  CR Palencia Station
90046  CR St. Aug St. Johns Airport Station
90048  CR St. Johns Cnty Complex Station
90050  CR St. Aug US 1 and San Marco Station
90052  CR St Aug US1 and Castillo Dr Station
90054  CR West Augustine at I-95 Station
90056  CR Riverside Station
90058  CR FSC Kent Campus Station
90060  CR San Juan Ave Station
90062  CR Timuquana Station
90064  CR NAS Jax Station
90066  CR Collins at I-295 Station
90068  CR Orange Park at Kingsley Station
90070  CR Lakeside Station
90072  CR Doctors Inlet Station
90074  CR Lake Asbury
90076  CR Green Cove Springs Station
