80001  ASE FCCJ Downtown Station
80002  ASE Hemming Plaza Station
80003  ASE Central Station
80004  ASE Jefferson Station
80005  ASE Convention Center Station
80006  ASE San Marco Station
80007  ASE Riverplace Station
80008  ASE Kings Ave Station
80010  BRT1 Wal Mart (Park and Ride)  
80011  BRT39 Kingsley Ave (Park and Ride) 
80012  BRT38 Orange Park Mall (Park and Ride unofficial) 
80013  BRT34 Townsend Blvd SB 
80014  BRT33 103rd Street (Park and Ride unofficial)
80015  BRT32 Wilson Blvd (Park and Ride unofficial) 
80016  BRT31 San Juan Avenue
80017  BRT30 FSC Kent Campus (Park and Ride unofficial) 
80018  BRT29 FSC Kent Campus (Park and Ride unofficial) 
80019  BRT35 Townsend Blvd NB 
80020  BRT36 Collins Road SB 
80021  BRT16 Jacksonville Regional Transportation Center (Park and Ride) 
80022  BRT7 Rosa Parks FSC 
80024  BRT44 Beach and Forest Blvd EB
80026  BRT40 University Blvd (Park and Ride) 
80027  BRT41 Arlington Central (Park and Ride) 
80028  BRT42 Regency Square Mall (Park and Ride) 
80029  BRT43 Ivey Road 
80030  BRT45 Beach and Forest Blvd WB
80031  BRT26 Baymeadows Rd 
80032  BRT28 Avenues Walk (Park and Ride) 
80033  BRT37 Collins Road NB 
80034  BRT47 Kernan Blvd EB (Park and Ride unofficial) 
80035  BRT53 Penman Rd (Park and Ride unofficial) 
80036  BRT2 Dunn Ave (Park and Ride)   
80038  BRT48 Kernan Blvd WB (Park and Ride unofficial) 
80039  BRT46 FSC South Campus (Park and Ride) 
80040  BRT50 Hodges Blvd WB (Park and Ride unofficial) 
80041  BRT49 Hodges Blvd EB (Park and Ride unofficial)
80042  BRT52 San Pablo Rd WB (Park and Ride unofficial)
80043  BRT54 Beach and A1A (Park and Ride) 
80051  BRT3 Soutel Drive (Park and Ride unofficial)   
80052  BRT6 Shands Hospital (Park and Ride)
80053  BRT4 Edgewood Ave 
80054  BRT15 Jefferson WB (Park and Ride)
80055  BRT51 San Pablo Rd EB (Park and Ride unofficial) 
80056  BRT5 Gateway Mall (Park and Ride)  
80057  BRT8 La Villa SB 
80058  BRT9 La Villa NB 
80059  BRT10 Court House SB 
80061  BRT14 Jefferson EB (Park and Ride)
80062  BRT17 Museum Circle EB 
80063  BRT20 Kings Avenue Skyway Station (Park and Ride) 
80064  BRT21 Emerson SB 
80065  BRT24 University West NB 
80069  BRT27 Avenues (Park and Ride) 
80070  BRT11 Court House NB 
80071  BRT12 Acosta SB 
80072  BRT13 Acosta NB 
80073  BRT18 Museum Circle WB 
80074  BRT19 Riverplace Boulevard 
80075  BRT22 Emerson NB 
80076  BRT23 University West SB 
80077  BRT25 J.Turner Butler Blvd (Park and Ride) 
