; N,HBW,HBO,HBSH,HBSR,HBSC,HBCU,NHBW,NHBO
1,0,0,0,0,-5.162,-36.0209,-14.9641,-0.5074
2,-5.8887,0.6608,9.9128,0.1759,0.6706,-1.4462,-0.451,-0.0425
3,-0.7986,0.2401,-0.3364,-0.0995,0.2441,0.6534,-0.4337,-0.0956
4,6.4353,2.1321,10.9539,0.8257,-1.4671,-0.6222,-2.3773,-2.3603
5,0,0,0,0,-3.3209,-2.6021,-3.6684,-3.4191
6,0,0,0,0,-2.9034,-3.6829,-1.2402,-1.9351
7,-6.1743,-3.147,8.9008,-0.2786,0.5783,-13.568,-2.0306,-3.6547
8,-3.4835,2.4322,-3.9773,-3.8315,-1.1298,2.3405,-5.1165,-1.5709
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,-4.1778,-2.4116,-1.941,-3.9316,0,0,0,0
12,0.2848,-1.8101,1.0858,0.1143,0,0,0,0
13,-0.5722,1.3902,1.2266,-0.1701,0,0,0,0
14,0.4,-2.5558,-0.8287,-3.0848,0,0,0,0
15,-2.553,-2.37,-1.1661,-1.1568,0,0,0,0
16,1.8885,-0.1504,1.9878,0.7582,0,0,0,0
17,-1.0132,-11.6126,3.4094,-2.5869,0,0,0,0
18,-2.8912,2.4355,-8.2351,-1.0058,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,-4.3121,-0.7601,-2.6253,-4.5414,0,0,0,0
22,-1.0162,2.4377,2.1594,0.117,0,0,0,0
23,-0.3749,-4.6171,-4.4892,-0.1682,0,0,0,0
24,-2.6325,-1.4351,-1.8546,-4.1465,0,0,0,0
25,-1.9565,-2.184,-2.0359,-1.3895,0,0,0,0
26,3.3629,0.0363,1.4419,0.5159,0,0,0,0
27,-5.3062,-9.9308,-9.6457,-2.4619,0,0,0,0
28,-2.1762,2.4159,2.077,-1.0239,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,-4.8789,-3.5044,-8.0724,-5.8125,0,0,0,0
32,-1.0183,0.0305,-0.2374,0.1139,0,0,0,0
33,-0.3737,-0.3328,-0.1168,-0.1693,0,0,0,0
34,-0.4881,-1.7874,-3.7381,-2.8195,0,0,0,0
35,-2.0504,-1.6073,-1.5615,-2.661,0,0,0,0
36,2.2205,-0.1206,1.1814,-0.7628,0,0,0,0
37,-5.4952,-3.6495,-2.9947,-2.6674,0,0,0,0
38,-2.2887,-0.4343,-2.3327,-1.02,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,-4.185,-1.1496,-5.0158,-4.1934,0,0,0,0
42,-1.0032,-0.1993,-0.219,-0.0071,0,0,0,0
43,-0.6485,-0.0161,-0.149,-0.1234,0,0,0,0
44,-1.8163,-2.9425,-3.8638,-3.5228,0,0,0,0
45,-1.9194,-2.7771,-3.2456,-3.1788,0,0,0,0
46,2.4069,0.2704,1.7021,-1.3149,0,0,0,0
47,-4.9095,-2.5722,-4.0648,-1.2504,0,0,0,0
48,-3.5778,-0.3849,-0.0081,0.0757,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0.3038,-3.1352,-1.5508,0.0246,86.7244,31.8489,10.1732,1.7148
52,0,0,0,0,0,0,0,0
53,0.15,0.09,0.09,0.09,0.09,0.15,0.12,0.12
54,0,0,0,0,0,0,0,0
55,0.325,0.195,0.195,0.195,0.195,0.325,0.26,0.26
56,-4.4288,-2.341,-3.2653,-2.0292,0.8386,0.4582,-0.6154,0.0059
57,0.075,0.045,0.045,0.045,0.045,0.075,0.06,0.06
58,0.15,0.09,0.09,0.09,0.09,0.15,0.12,0.12
59,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
